url,title,author,students,rating,difficulty,skills,description,price,source
https://www.coursera.org/learn/python-for-applied-data-science-ai,"Python for Data Science, AI & Development",Joseph Santarcangelo,1222909.0,4.6,Beginner,"['NumPy', 'Data Manipulation', 'File Management', 'Data Structures', 'Application Programming Interface (API)', 'Data Analysis', 'Programming Principles', 'Web Scraping', 'Restful API', 'Object Oriented Programming (OOP)', 'Computer Programming', 'Jupyter', 'Python Programming', 'Data Import/Export', 'Pandas (Python Package)']","There are 5 modules in this courseKickstart your Python journey with this beginner-friendly, self-paced course taught by an expert. Python is one of the most popular programming languages, and the demand for individuals with Python skills continues to grow. This course takes you from zero to programming in Python in a matter of hoursâno prior programming experience is necessary! Youâll begin with Python basics, including data types, expressions, variables, and string operations. You will explore essential data structures such as lists, tuples, dictionaries, and sets, learning how to create, access, and manipulate them. Next, you will delve into logic concepts like conditions and branching, learning how to use loops and functions, along with important programming principles like exception handling and object-oriented programming. 

As you progress, you will gain practical experience reading from and writing to files and working with common file formats. Youâll also use powerful Python libraries like NumPy and Pandas for data manipulation and analysis. The course also covers APIs and web scraping, teaching you how to interact with REST APIs using libraries like requests and extract data from websites using BeautifulSoup. 

You will practice and apply what you learn through hands-on labs using Jupyter Notebooks. By the end of this course, youâll feel comfortable creating basic programs, working with data, and automating real-world tasks using Python. 

This course is suitable for individuals interested in pursuing careers in Data Science, Data Analytics, Software Development, Data Engineering, AI, and DevOps and a variety of other technology-related roles.",0.0,Coursera
https://www.coursera.org/learn/python-crash-course,Crash Course on Python,Google Career Certificates,1256131.0,4.8,Beginner,"['Development Environment', 'Computational Thinking', 'Computer Programming', 'Data Structures', 'Integrated Development Environments', 'Python Programming', 'Debugging', 'Programming Principles', 'Algorithms', 'Problem Management']","There are 5 modules in this courseThis course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you will understand the benefits of programming in IT roles; understand basic Python syntax; explore different code editors and developer environments; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. We'll start off by diving into the basics of writing a computer program. Along the way, youâll get hands-on experience with programming concepts through interactive exercises and real-world examples. Youâll quickly start to see how computers can perform a multitude of tasks â you just have to write code that tells them what to do.",0.0,Coursera
https://www.coursera.org/specializations/python,Python for Everybody Specialization,Charles Russell Severance,1797838.0,4.8,Beginner,"['Network Protocols', 'Database Design', 'SQL', 'Application Programming Interface (API)', 'Python Programming', 'Restful API', 'Data Collection', 'Computer Programming', 'Data Visualization Software', 'Data Processing', 'Data Modeling', 'Data Import/Export']","Specialization - 5 course seriesThis Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, youâll use the technologies learned throughout the Specialization to design and create your own  applications for data retrieval, processing, and visualization.",0.0,Coursera
https://www.coursera.org/learn/programming-in-python,Programming in Python,Taught by Meta Staff,124567.0,4.6,Beginner,"['Debugging', 'Test Driven Development (TDD)', 'Integrated Development Environments', 'Data Structures', 'Programming Principles', 'Software Testing', 'Computer Programming', 'Python Programming', 'Object Oriented Programming (OOP)', 'Development Environment', 'Unit Testing']","There are 5 modules in this courseIn this course, you will be introduced to foundational programming skills with basic Python Syntax. Youâll learn how to use code to solve problems. Youâll dive deep into the Python ecosystem and learn popular modules, libraries and tools for Python. Youâll also get hands-on with objects, classes and methods in Python, and utilize variables, data types, control flow and loops, functions and data structures. Youâll learn how to recognize and handle errors and youâll write unit tests for your Python code and practice test-driven development.

By the end of this course, you will be able to:
â¢	Prepare your computer system for Python programming
â¢	Show understanding of Python syntax and how to control the flow of code
â¢	Demonstrate knowledge of how to handle errors and exceptions
â¢	Explain object-oriented programming and the major concepts associated with it
â¢	Explain the importance of testing in Python, and when to apply particular methods

This is a beginner course for learners who would like to prepare themselves for a career in back-end development or database engineering. To succeed in this course, you do not need prior web development experience, only basic internet navigation skills and an eagerness to get started with coding.",0.0,Coursera
https://www.coursera.org/professional-certificates/microsoft-python-developer,Microsoft Python Development  Professional Certificate, Microsoft,33837.0,4.4,Beginner,"['Plotly', 'Debugging', 'Test Driven Development (TDD)', 'Restful API', 'Docker (Software)', 'Scripting', 'Git (Version Control System)', 'Data Ethics', 'Agile Methodology', 'Data Manipulation', 'Flask (Web Framework)', 'Web Development']","Professional Certificate - 6 course seriesLaunch your Python Developer career with no prior experience needed! This program is perfect for career changers and those looking to break into the tech industry. Learn Python, a top programming language used in web development, data science, and automation, opening doors to exciting opportunities and competitive salaries.Why choose this program?Specifically designed for reskillers: Tailored for individuals seeking new career paths or to enhance their existing skills with in-demand Python knowledge.Confidence in your success: Our rigorous curriculum, hands-on projects, and career-building module provide a path to achieving your career goals.Uniquely comprehensive: From the basics to advanced concepts like generative AI and cloud computing, gain a well-rounded skillset that sets you apart.You'll gain practical experience with:Hands-on projects: Build a portfolio showcasing your abilities to potential employers.Generative AI integration: Learn to leverage cutting-edge tools for code generation and optimization.Cloud computing with Azure: Gain practical experience deploying applications on a leading cloud platform.Plus, dedicated career support:Career-building module: Receive expert guidance on portfolio creation, resume writing, and interview techniques to navigate your job search.Prerequisites:Basic computer skills, problem-solving abilities.Enroll now and unlock your potential in the exciting world of Python development!Applied Learning ProjectThis program takes you on a six-part journey, mirroring the work of an entry-level Python developer. First, build your fundamental Python skills with hands-on practice writing code, debugging, and exploring essential Python libraries. Then, youâll start cleaning and analyzing real data and create visualizations to uncover hidden insights in projects related to real-world scenarios. Ultimately, youâll work toward a final project to automate a sports data collection. First, youâll build a machine learning model to make predictions, then youâll design a web application to showcase the sports data insights. The project-based journey culminates in building a chatbot to summarize real-time sports stats and analysis. Along the way, you will also gain collaboration skills essential to a successful career as a Python developer, and tools like Git, and applying Agile methodologies to realistic workplace scenarios.",0.0,Coursera
https://www.coursera.org/learn/get-started-with-python,Get Started with Python,Google Career Certificates,131825.0,4.8,Advanced,"['Scripting', 'Data Analysis', 'Object Oriented Programming (OOP)', 'Programming Principles', 'NumPy', 'Pandas (Python Package)', 'Python Programming', 'Algorithms', 'Data Manipulation', 'Data Structures', 'Jupyter']","There are 5 modules in this courseThis is the second of seven courses in the Google Advanced Data Analytics Certificate. The Python programming language is a powerful tool for data analysis. In this course, youâll learn the basic concepts of Python programming and how data professionals use Python on the job. You'll explore concepts such as object-oriented programming, variables, data types, functions, conditional statements, loops, and data structures. Google employees who currently work in the field will guide you through this course by providing hands-on activities that simulate relevant tasks, sharing examples from their day-to-day work, and helping you enhance your data analytics skills to prepare for your career. 


Learners who complete the seven courses in this program will have the skills needed to apply for data science and advanced data analytics jobs. This certificate assumes prior knowledge of foundational analytical principles, skills, and tools covered in the Google Data Analytics Certificate.    


By the end of this course, you will:
-Define what a programming language is and why Python is used by data scientists
-Create Python scripts to display data and perform operations
-Control the flow of programs using conditions and functions
-Utilize different types of loops when performing repeated operations
-Identify data types such as integers, floats, strings, and booleans
-Manipulate data structures such as , lists, tuples, dictionaries, and sets
-Import and use Python libraries such as NumPy and pandas",0.0,Coursera
https://www.coursera.org/learn/data-analysis-with-python,Data Analysis with Python,Joseph Santarcangelo,547595.0,4.7,Intermediate,"['Data Import/Export', 'Matplotlib', 'Pandas (Python Package)', 'Statistical Modeling', 'Supervised Learning', 'Predictive Modeling', 'Regression Analysis', 'Data Cleansing', 'NumPy', 'Data Pipelines', 'Data Manipulation', 'Descriptive Statistics', 'Data Analysis', 'Feature Engineering', 'Scikit Learn (Machine Learning Library)', 'Data Wrangling', 'Exploratory Data Analysis', 'Data-Driven Decision-Making']","There are 6 modules in this courseAnalyzing data with Python is a key skill for aspiring Data Scientists and Analysts!This course takes you from the basics of importing and cleaning data to building and evaluating predictive models. Youâll learn how to collect data from various sources, wrangle and format it, perform exploratory data analysis (EDA), and create effective visualizations. As you progress, youâll build linear, multiple, and polynomial regression models, construct data pipelines, and refine your models for better accuracy. 

Through hands-on labs and projects, youâll gain practical experience using popular Python libraries such as Pandas, NumPy, Matplotlib, Seaborn, SciPy, and Scikit-learn. These tools will help you manipulate data, create insights, and make predictions.

By completing this course, youâll not only develop strong data analysis skills but also earn a Coursera certificate and an IBM digital badge to showcase your achievement.",0.0,Coursera
https://www.coursera.org/learn/python,Programming for Everybody (Getting Started with Python),Charles Russell Severance,3340930.0,4.8,Beginner,"['Development Environment', 'Programming Principles', 'Scripting Languages', 'Computer Programming', 'Scripting', 'Python Programming', 'Computational Thinking']","There are 7 modules in this courseThis course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook âPython for Everybodyâ.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.",0.0,Coursera
https://www.coursera.org/specializations/python-3-programming,Python 3 Programming Specialization,Steve Oney,258921.0,4.8,Beginner,"['Unit Testing', 'Debugging', 'Image Analysis', 'Python Programming', 'Restful API', 'Unified Modeling Language', 'Software Design', 'Object Oriented Programming (OOP)', 'Jupyter', 'Data Processing', 'Object Oriented Design', 'Data Import/Export']","Specialization - 5 course seriesThis specialization teaches the fundamentals of programming in Python 3. We will begin at the beginning, with variables, conditionals, and loops, and get to some intermediate material like keyword parameters, list comprehensions, lambda expressions, and class inheritance.You will have lots of opportunities to practice. You will also learn ways to reason about program execution, so that it is no longer mysterious and you are able to debug programs when they donât work.By the end of the specialization, youâll be writing programs that query Internet APIs for data and extract useful information from them.  And youâll be able to learn to use new modules and APIs on your own by reading the documentation. That will give you a great launch toward being an independent Python programmer.This specialization is a good next step for you if you have completed Python for EverybodyOpens in a new tab but want a more in-depth treatment of Python fundamentals and more practice, so that you can proceed with confidence to specializations like Applied Data Science with PythonOpens in a new tab.But it is also appropriate as a first set of courses in Python if you are already familiar with some other programming language, or if you are up for the challenge of diving in head-first.Applied Learning ProjectBy the end of the second course, you will create a simple sentiment analyzer that counts the number of positive and negative words in tweets. In the third course, you will mash up two APIs to create a movie recommender. The final course, Python Project: pillow, tesseract, and opencv (Course 5), is an extended project in which you'll perform optical character recognition (OCR) and object detection in images.",0.0,Coursera
https://www.coursera.org/learn/python-basics,Python Basics,Paul Resnick,490917.0,4.8,Beginner,"['Python Programming', 'Computer Programming', 'Data Structures', 'Debugging', 'Computer Graphics', 'Programming Principles', 'Pseudocode', 'Scripting Languages']","There are 4 modules in this courseThis course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook ""Fundamentals of Python Programming,"" which is the accompanying text (optional and free) for this course.The course is for you if you're a newcomer to Python programming, if you need a refresher on Python basics, or if you may have had some exposure to Python programming but want a more in-depth exposition and vocabulary for describing and reasoning about programs.

This is the first of five courses in the Python 3 Programming Specialization.",0.0,Coursera
